"","evt","dataobs","cover","us_loading..Mg.ha","ms_loading..Mg.ha","os_loading..Mg.ha","tree_crown_loading..Mg.ha","tree_loading..Mg.ha","snag_loading..Mg.ha","shrub_loading..Mg.ha","herb_percentlive.","herb_loading..Mg.ha","X1hr_loading..Mg.ha","X10hr_loading..Mg.ha","X100hr_loading..Mg.ha","fwd_loading..Mg.ha","X1KhrS_loading..Mg.ha","X1KhrR_loading..Mg.ha","X1Khr_loading..Mg.ha","X10KhrS_loading..Mg.ha","X10KhrR_loading..Mg.ha","X10Khr_loading..Mg.ha","GT10KhrS_loading..Mg.ha","GT10KhrR_loading..Mg.ha","cwd_sound_loading..Mg.ha","cwd_rotten_loading..Mg.ha","cwd_loading..Mg.ha","moss_loading..Mg.ha","lichen_loading..Mg.ha","litter_depth..cm","litter_loading..Mg.ha","duff_depth..cm","duff_loading..Mg.ha","NA","coverProp"
"96",655,167,174095716,0,0,0,0,159,159,164,0,166,162,162,162,0,2,2,0,0,0,0,0,0,0,0,162,0,0,0,164,0,162,0.0193897463817816,0.0193897463817816
"97",680,458,43667727,0,0,0,0,449,449,458,0,458,455,455,455,0,0,0,1,0,0,0,0,0,0,0,457,0,0,1,452,1,451,0.0048634519622463,0.0048634519622463
"98",673,14,1695200,0,0,0,0,14,14,14,0,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,14,0.000188801303223315,0.000188801303223315
"99",672,33,358388,0,0,0,0,33,33,33,0,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,32,0,32,3.99151259200079e-05,3.99151259200079e-05
"100",656,236,3633016,0,0,0,0,236,236,236,0,236,236,236,236,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,235,0,235,0.000404623734916915,0.000404623734916915
"101",677,136,49239149,0,0,0,0,73,73,105,0,120,111,111,111,0,2,2,24,0,0,0,0,0,5,5,74,0,0,36,120,24,88,0.00548396383955107,0.00548396383955107
"102",686,82,3532424,0,0,0,0,24,24,42,0,41,55,55,55,23,17,17,38,0,0,0,0,0,0,0,24,0,0,1,45,9,33,0.000393420395668543,0.000393420395668543
"103",695,83,5302845,0,0,0,0,73,72,73,0,73,77,77,77,2,0,0,5,0,0,0,0,0,1,1,72,0,0,1,77,5,75,0.00059059936691319,0.00059059936691319
"104",689,114,24186138,0,0,0,0,81,81,90,0,98,100,100,100,2,6,6,8,0,0,0,0,0,5,5,82,0,0,9,103,9,92,0.00269370833785921,0.00269370833785921
"105",679,77,2059810,0,0,0,0,74,74,77,0,77,77,77,77,0,0,0,1,0,0,0,0,0,2,2,74,0,0,1,76,1,73,0.000229409398532572,0.000229409398532572
"106",690,138,26387389,0,0,0,0,110,110,117,0,131,131,131,129,4,4,4,17,0,0,0,0,0,0,0,108,0,0,2,132,2,128,0.00293887059453785,0.00293887059453785
"107",691,49,428507,0,0,0,0,3,3,21,0,19,20,20,20,24,8,8,1,0,0,0,0,0,0,0,7,0,0,25,25,24,7,4.77245634971171e-05,4.77245634971171e-05
"108",653,21,32768203,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00364952774344392,0.00364952774344392
"109",674,8,42328,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71424112956375e-06,4.71424112956375e-06
"110",671,3,51783,0,0,0,0,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5.76728284852107e-06,5.76728284852107e-06
"111",688,1,3388146,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.000377351569319763,0.000377351569319763
"112",684,1069,40945729,0,0,0,0,883,883,1062,0,1001,1022,1022,1007,31,67,67,1,0,0,0,0,0,12,12,931,0,0,51,1040,49,986,0.0045602919989551,0.0045602919989551
"113",657,55,5677513,0,0,0,0,55,55,55,0,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,39,0,38,0.000632327662498414,0.000632327662498414
"114",692,11,601,9,9,9,0,1,9,10,0,11,10,10,10,0,0,0,1,0,0,0,0,0,0,0,0,9,9,1,10,1,9,6.6935808894061e-08,6.6935808894061e-08
"115",678,3,2285361,0,0,0,0,1,1,3,0,3,2,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,1,2,0.000254529928702064,0.000254529928702064
"116",650,4,19722722,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,4,1,1,0.00219659958512927,0.00219659958512927
"117",731,0,162466180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180945177641067,0.0180945177641067
"118",708,5,1187704,0,0,0,0,5,5,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0.000132279414254096,0.000132279414254096
"119",709,0,387056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3107997416472e-05,4.3107997416472e-05
"120",697,1322,2624388,0,0,0,0,1251,1251,1290,0,1273,1286,1287,1286,22,22,22,47,0,0,0,0,0,0,0,1251,0,0,1,1283,11,1260,0.000292288741483972,0.000292288741483972
